,Name,Original Price,Discounted Price,Ratings,Star Ratings,Discount %
0,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
1,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
2,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
3,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
4,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
5,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
6,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
7,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
8,M.A.C Lipstick / Mini,1100,1100,19564,3,0
9,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
10,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
11,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
12,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
13,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
14,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
15,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
16,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
17,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
18,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
19,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
20,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
21,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
22,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
23,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
24,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
25,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
26,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
27,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
28,M.A.C Lipstick / Mini,1100,1100,19564,3,0
29,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
30,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
31,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
32,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
33,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
34,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
35,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
36,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
37,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
38,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
39,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
40,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
41,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
42,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
43,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
44,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
45,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
46,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
47,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
48,M.A.C Lipstick / Mini,1100,1100,19564,3,0
49,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
50,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
51,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
52,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
53,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
54,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
55,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
56,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
57,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
58,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
59,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
60,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
61,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
62,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
63,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
64,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
65,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
66,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
67,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
68,M.A.C Lipstick / Mini,1100,1100,19564,3,0
69,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
70,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
71,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
72,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
73,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
74,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
75,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
76,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
77,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
78,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
79,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
80,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
81,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
82,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
83,Faces Canada Weightless Matte Finish Lipstick,299,254,28478,4,15
84,PAT McGRATH LABS Mattetrance,3800,3800,5,1,0
85,Swiss Beauty HD Matte Lipstick,299,224,4444,1,25
86,Maybelline New York Color Sensational Creamy Matte Lipstick,299,209,81862,4,30
87,Lakme Forever Matte Liquid Lip Color,295,251,40503,4,14
88,M.A.C Lipstick / Mini,1100,1100,19564,3,0
89,Faces Canada Ultime Pro Hd Intense Matte Lips + Primer,799,679,18731,3,15
90,SUGAR Cosmetics Matte Attack Transferproof Lipstick,699,629,6065,2,10
91,Love Earth Multipot Lip and Cheek Tint,599,299,3040,1,50
92,Nykaa Ultra Matte Mini Lipstick,239,239,11111,3,0
93,Maybelline New York Super Stay Crayon Lipstick,699,454,12210,3,35
94,Lakme Absolute Matte Ultimate Lip Color with Argan Oil,800,400,10687,2,50
95,Lakme 9 To 5 Primer + Matte Lipstick,500,425,7227,2,15
96,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color,675,574,33555,4,14
97,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,599,13057,3,25
98,SUGAR Matte As Hell Crayon Lipstick With Free Sharpener,799,719,9509,2,10
99,Just Herbs Ayurvedic Matte Lipstick Micro-Mini Trial Kit,575,403,7966,2,29
100,Nykaa So Creme! Creamy Matte Lipstick,299,239,47784,4,20
101,Maybelline New York Color Sensational Ultimattes Lipstick,549,357,1659,1,34
102,Kay Beauty Matte Drama Long Stay Lipstick,999,999,2625,1,0
